date,value
2022-06-30,80.910000
2022-07-01,44.950000
2022-07-02,44.950000
2022-07-03,53.940000
2022-07-04,14.990000
2022-07-05,98.890000
2022-07-06,45.450000
2022-07-07,180.300000
2022-07-08,49.450000
2022-07-09,14.990000
2022-07-10,24.480000
2022-07-11,50.950000
2022-07-12,183.330000
2022-07-13,78.420000
2022-07-14,56.950000
2022-07-15,81.910000
2022-07-16,53.940000
2022-07-17,80.910000
2022-07-18,53.940000
2022-07-19,114.380000
2022-07-20,36.460000
2022-07-21,36.460000
2022-07-22,35.960000
2022-07-23,35.960000
2022-07-24,105.390000
2022-07-25,71.920000
2022-07-26,123.370000
2022-07-27,63.930000
2022-07-28,77.920000
2022-07-29,36.460000
2022-07-30,26.970000
2022-07-31,72.420000
2022-08-01,107.880000
2022-08-02,89.900000
2022-08-03,114.380000
2022-08-04,162.330000
2022-08-05,77.920000
2022-08-06,35.960000
2022-08-07,44.950000
2022-08-08,62.930000
2022-08-09,68.930000
2022-08-10,26.970000
2022-08-11,63.430000
2022-08-12,17.980000
2022-08-13,90.400000
2022-08-14,108.380000
2022-08-15,125.860000
2022-08-16,99.390000
2022-08-17,62.930000
2022-08-18,141.350000
2022-08-19,71.920000
2022-08-20,89.900000
2022-08-21,90.900000
2022-08-22,88.410000
2022-08-23,81.410000
2022-08-24,125.860000
2022-08-25,35.960000
2022-08-26,118.370000
2022-08-27,44.950000
2022-08-28,80.910000
2022-08-29,90.400000
2022-08-30,54.440000
2022-08-31,72.420000
2022-09-01,125.370000
2022-09-02,50.950000
2022-09-03,32.970000
2022-09-04,123.870000
2022-09-05,107.880000
2022-09-06,72.420000
2022-09-07,119.370000
2022-09-08,104.890000
2022-09-09,35.960000
2022-09-10,69.570000
2022-09-11,122.110000
2022-09-12,122.660000
2022-09-13,53.940000
2022-09-14,116.020000
2022-09-15,56.940000
2022-09-16,81.900000
2022-09-17,92.490000
2022-09-18,102.540000
2022-09-19,118.370000
2022-09-20,98.980000
2022-09-21,128.850000
2022-09-22,140.650000
2022-09-23,150.820000
2022-09-24,76.920000
2022-09-25,113.880000
2022-09-26,100.890000
2022-09-27,132.360000
2022-09-28,14.990000
2022-09-29,202.320000
2022-09-30,71.920000
2022-10-01,71.920000
2022-10-02,127.870000
2022-10-03,157.840000
2022-10-04,90.400000
2022-10-05,72.420000
2022-10-06,97.390000
2022-10-07,116.870000
2022-10-08,53.940000
2022-10-09,108.380000
2022-10-10,81.410000
2022-10-11,252.240000
2022-10-12,167.330000
2022-10-13,89.900000
2022-10-14,71.920000
2022-10-15,71.920000
2022-10-16,113.880000
2022-10-17,113.880000
2022-10-18,145.840000
2022-10-19,104.890000
2022-10-20,89.900000
2022-10-21,137.860000
2022-10-22,77.920000
2022-10-23,87.410000
2022-10-24,53.940000
2022-10-25,80.420000
2022-10-26,126.360000
2022-10-27,89.900000
2022-10-28,149.340000
2022-10-29,123.870000
2022-10-30,172.830000
2022-10-31,45.450000
2022-11-01,54.940000
2022-11-02,188.310000
2022-11-03,9.490000
2022-11-04,16.480000
2022-11-05,153.330000
2022-11-06,33.470000
2022-11-07,80.410000
2022-11-08,128.860000
2022-11-09,135.850000
2022-11-10,155.350000
2022-11-11,150.860000
2022-11-12,118.370000
2022-11-13,149.340000
2022-11-14,156.840000
2022-11-15,237.270000
2022-11-16,228.760000
2022-11-17,325.180000
2022-11-18,183.310000
2022-11-19,344.660000
2022-11-20,378.630000
2022-11-21,237.260000
2022-11-22,267.220000
2022-11-23,162.320000
2022-11-24,220.770000
2022-11-25,523.960000
2022-11-26,451.060000
2022-11-27,374.120000
2022-11-28,427.580000
2022-11-29,160.380000
2022-11-30,87.420000
2022-12-01,96.930000
2022-12-02,149.900000
2022-12-03,14.990000
2022-12-04,17.980000
2022-12-07,40.960000
2022-12-08,45.450000
2022-12-09,55.940000
2022-12-10,44.950000
2022-12-11,28.970000
2022-12-12,73.920000
2022-12-13,74.930000
2022-12-14,91.900000
2022-12-15,105.890000
2022-12-16,90.900000
2022-12-17,53.940000
2022-12-18,124.380000
2022-12-19,191.800000
2022-12-20,224.750000
2022-12-21,113.880000
2022-12-22,26.970000
2022-12-23,80.910000
2022-12-24,53.940000
2022-12-25,89.900000
2022-12-26,100.890000
2022-12-27,73.920000
2022-12-28,53.940000
2022-12-29,62.930000
2022-12-30,45.450000
2022-12-31,17.980000
2023-01-01,44.950000
2023-01-02,102.890000
2023-01-03,89.900000
2023-01-04,107.880000
2023-01-05,62.930000
2023-01-06,8.990000
2023-01-07,71.920000
2023-01-08,71.920000
2023-01-09,68.930000
2023-01-10,80.910000
2023-01-11,62.930000
2023-01-12,72.420000
2023-01-13,116.870000
2023-01-14,89.900000
